"File","Path","Type","Size","Responsibility","RuntimeRelevant","ReplayRelevant","LineageRelevant","Status","Modified"
"package-lock.json","runtime\kernel\commit-service\package-lock.json","json","52545","reference","NO","NO","NO","REFERENCE","2026-06-05 18:43:45"
"package.json","runtime\kernel\commit-service\package.json","json","546","reference","NO","NO","NO","REFERENCE","2026-06-05 19:53:31"
"tsconfig.json","runtime\kernel\commit-service\tsconfig.json","json","212","reference","NO","NO","NO","REFERENCE","2026-06-05 18:42:16"
"server.ts","runtime\kernel\commit-service\src\server.ts","typescript","387","orchestration/transport","YES","YES","YES","HIGH","2026-06-05 18:43:45"
"audit_controller.ts","runtime\kernel\commit-service\src\api\audit_controller.ts","typescript","317","observability","YES","NO","NO","MEDIUM","2026-06-05 18:43:45"
"commit_controller.ts","runtime\kernel\commit-service\src\api\commit_controller.ts","typescript","1070","orchestration/transport","YES","YES","YES","HIGH","2026-06-05 18:43:45"
"canonical_engine.ts","runtime\kernel\commit-service\src\engines\canonical_engine.ts","typescript","376","canonicalization","YES","YES","NO","CRITICAL","2026-06-05 19:53:23"
"identity_engine.ts","runtime\kernel\commit-service\src\engines\identity_engine.ts","typescript","350","identity","YES","YES","NO","CRITICAL","2026-06-05 19:53:26"
"event_log.ts","runtime\kernel\commit-service\src\events\event_log.ts","typescript","245","event recording","YES","YES","NO","HIGH","2026-06-05 18:43:45"
"artifact_store.ts","runtime\kernel\commit-service\src\persistence\artifact_store.ts","typescript","336","persistence","YES","YES","YES","HIGH","2026-06-05 18:43:45"
"db.ts","runtime\kernel\commit-service\src\persistence\db.ts","typescript","111","persistence","YES","YES","YES","HIGH","2026-06-05 18:43:45"
"ledger_schema.sql","runtime\kernel\commit-service\src\persistence\ledger_schema.sql","sql","479","persistence","YES","YES","YES","HIGH","2026-06-05 18:43:45"
"lineage_store.ts","runtime\kernel\commit-service\src\persistence\lineage_store.ts","typescript","302","lineage persistence","YES","YES","YES","HIGH","2026-06-05 18:43:45"
"logger.ts","runtime\kernel\commit-service\src\utils\logger.ts","typescript","57","observability","YES","NO","NO","MEDIUM","2026-06-05 18:43:45"
"dag_validator.ts","runtime\kernel\commit-service\src\validation\dag_validator.ts","typescript","330","lineage validation","YES","YES","YES","CRITICAL","2026-06-05 18:42:16"
".gitignore","vos\.gitignore","other","51","reference","NO","NO","NO","REFERENCE","2026-06-05 21:17:27"
"README.md","vos\README.md","markdown","3256","reference","NO","NO","NO","REFERENCE","2026-06-05 19:56:45"
"manifest.json","vos\archive\manifest.json","json","113","reference","NO","NO","NO","REFERENCE","2026-06-05 19:56:45"
"ARCHITECTURE.md","vos\cos\ARCHITECTURE.md","markdown","12901","reference","NO","NO","NO","REFERENCE","2026-06-05 19:56:45"
"CONSTITUTION.md","vos\cos\CONSTITUTION.md","markdown","6097","constitutional law","NO","NO","NO","CRITICAL","2026-06-05 19:56:45"
"index.json","vos\cos\index.json","json","1134","reference","NO","NO","NO","REFERENCE","2026-06-05 19:56:45"
"STRUCTURE.md","vos\cos\STRUCTURE.md","markdown","4473","reference","NO","NO","NO","REFERENCE","2026-06-05 19:56:45"
"events.jsonl","vos\cos\audit\events.jsonl","other","1484","reference","NO","NO","NO","REFERENCE","2026-06-05 19:56:45"
"README.md","vos\cos\audit\README.md","markdown","739","reference","NO","NO","NO","REFERENCE","2026-06-05 19:56:45"
"amendment-review.md","vos\cos\checklists\amendment-review.md","markdown","691","reference","NO","NO","NO","REFERENCE","2026-06-05 19:56:45"
"decision-review.md","vos\cos\checklists\decision-review.md","markdown","675","reference","NO","NO","NO","REFERENCE","2026-06-05 19:56:45"
"execution-approval.md","vos\cos\checklists\execution-approval.md","markdown","950","reference","NO","NO","NO","REFERENCE","2026-06-05 19:56:45"
"thesis-review.md","vos\cos\checklists\thesis-review.md","markdown","959","reference","NO","NO","NO","REFERENCE","2026-06-05 19:56:45"
"vos-expansion-review.md","vos\cos\checklists\vos-expansion-review.md","markdown","1098","reference","NO","NO","NO","REFERENCE","2026-06-05 19:56:45"
"argument-compiler.md","vos\cos\engines\argument-compiler.md","markdown","3989","reference","NO","NO","NO","REFERENCE","2026-06-05 19:56:45"
"delayed-execution.md","vos\cos\engines\delayed-execution.md","markdown","3669","reference","NO","NO","NO","REFERENCE","2026-06-05 19:56:45"
"thesis-compiler.md","vos\cos\engines\thesis-compiler.md","markdown","3807","reference","NO","NO","NO","REFERENCE","2026-06-05 19:56:45"
"failure-analysis.md","vos\cos\frameworks\failure-analysis.md","markdown","4917","reference","NO","NO","NO","REFERENCE","2026-06-05 19:56:45"
"governance-framework.md","vos\cos\governance\governance-framework.md","markdown","4026","reference","NO","NO","NO","REFERENCE","2026-06-05 19:56:45"
"self-improvement.md","vos\cos\governance\self-improvement.md","markdown","3615","reference","NO","NO","NO","REFERENCE","2026-06-05 19:56:45"
"artifact-lifecycle.md","vos\cos\lifecycle\artifact-lifecycle.md","markdown","3386","reference","NO","NO","NO","REFERENCE","2026-06-05 19:56:45"
"clarification-protocol.md","vos\cos\protocols\clarification-protocol.md","markdown","4561","reference","NO","NO","NO","REFERENCE","2026-06-05 19:56:45"
"repository-cleanup-plan.md","vos\cos\refactoring\repository-cleanup-plan.md","markdown","4849","reference","NO","NO","NO","REFERENCE","2026-06-05 19:56:45"
"argument-graph.schema.json","vos\cos\schema\argument-graph.schema.json","json","2036","lineage specification","NO","NO","YES","HIGH","2026-06-05 19:56:45"
"audit-event.schema.json","vos\cos\schema\audit-event.schema.json","json","998","constitutional schema","NO","YES","YES","CRITICAL","2026-06-05 19:56:45"
"amendment-proposal.template.md","vos\cos\templates\amendment-proposal.template.md","markdown","640","reference","NO","NO","NO","REFERENCE","2026-06-05 19:56:45"
"argument-graph.template.json","vos\cos\templates\argument-graph.template.json","json","1416","lineage specification","NO","NO","YES","HIGH","2026-06-05 19:56:45"
"decision-record.template.md","vos\cos\templates\decision-record.template.md","markdown","747","reference","NO","NO","NO","REFERENCE","2026-06-05 19:56:45"
"deprecation-notice.template.md","vos\cos\templates\deprecation-notice.template.md","markdown","407","reference","NO","NO","NO","REFERENCE","2026-06-05 19:56:45"
"execution-approval.template.md","vos\cos\templates\execution-approval.template.md","markdown","860","reference","NO","NO","NO","REFERENCE","2026-06-05 19:56:45"
"experiment-record.template.md","vos\cos\templates\experiment-record.template.md","markdown","503","reference","NO","NO","NO","REFERENCE","2026-06-05 19:56:45"
"failure-record.template.md","vos\cos\templates\failure-record.template.md","markdown","586","reference","NO","NO","NO","REFERENCE","2026-06-05 19:56:45"
"proposal-stage.template.md","vos\cos\templates\proposal-stage.template.md","markdown","350","reference","NO","NO","NO","REFERENCE","2026-06-05 19:56:45"
"reflection-record.template.md","vos\cos\templates\reflection-record.template.md","markdown","792","reference","NO","NO","NO","REFERENCE","2026-06-05 19:56:45"
"thesis-compiler.template.md","vos\cos\templates\thesis-compiler.template.md","markdown","1133","reference","NO","NO","NO","REFERENCE","2026-06-05 19:56:45"
"versioning-strategy.md","vos\cos\versioning\versioning-strategy.md","markdown","2085","reference","NO","NO","NO","REFERENCE","2026-06-05 19:56:45"
".gitkeep","vos\proposals\.gitkeep","other","0","reference","NO","NO","NO","REFERENCE","2026-06-05 19:56:45"
"01-problem.md","vos\proposals\prop-20260604-audit-schema-enforcement\01-problem.md","markdown","1122","reference","NO","NO","NO","REFERENCE","2026-06-05 19:56:45"
"02-thesis.md","vos\proposals\prop-20260604-audit-schema-enforcement\02-thesis.md","markdown","1090","reference","NO","NO","NO","REFERENCE","2026-06-05 19:56:45"
"03-constraints.md","vos\proposals\prop-20260604-audit-schema-enforcement\03-constraints.md","markdown","657","reference","NO","NO","NO","REFERENCE","2026-06-05 19:56:45"
"04-dependencies.md","vos\proposals\prop-20260604-audit-schema-enforcement\04-dependencies.md","markdown","833","reference","NO","NO","NO","REFERENCE","2026-06-05 19:56:45"
